Date,Place,Street,Railroad,Description
30/04/16 17:45,"CROWLEY, LOUISIANA",SIDNEY RICHARD ROAD,Union Pacific Railroad Company,PICKUP TRUCK STOPPED TOO CLOSE TO THE TRACKS AND WAS STRUCK BY THE ONCOMING TRAIN. #32 WARNING DEVICES: YIELD SIGN
30/04/16 16:00,"PLANT CITY, FLORIDA",PRIVATE ROAD,CSX Transportation,O82530 WAS TRAVELING SOUTHBOUND WHEN A VEHICLE WITH TWO MALE OCCUPANTS PULLED OUT AND WAS STRUCK BYTHE TRAIN. CREW REPORTED NO INJURIES. ONE OCCUPANT OF THE VEHICLE SUSTAINED INJURIES AND ONE OCCUPANT WAS FATALLY INJURED.
30/04/16 15:25,"GARY, INDIANA",RIDGE / GRANT RD.,Norfolk Southern Corporation,NS TRAIN 64RL429 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
30/04/16 14:15,"SEATTLE, WASHINGTON",LANDER ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 507 STRUCK A PEDESTRIAN AT MP 1.25, LANDER ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE."
30/04/16 1:30,"SUFFOLK, VIRGINIA",SR 33/SARATOGA STREE,Norfolk Southern Corporation,NS TRAIN 29GV129 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
29/04/16 17:05,"TUCSON, ARIZONA",7TH AVENUE,Union Pacific Railroad Company,PEDESTRIAN WAS WALKING BACK AND FORTH ON THE CROSSING AND WENT AROUND THE GATES AS THEY CAME DOWN.
29/04/16 13:00,"LITTLE ROCK, ARKANSAS",CHICOT ROAD,Union Pacific Railroad Company,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.
29/04/16 12:42,"DETROIT, MICHIGAN",HARPER,Consolidated Rail Corporation,PEDESTRIAN CROSSED THROUGH TRAIN AND SUSTAINED INJURY.
29/04/16 4:00,"DENVER, COLORADO",CARMAN'S CROSSING,Union Pacific Railroad Company,VEHICLE STOPPED AND THEN PROCEEDED OVER THE CROSSING AND WAS STRUCK BY THE CUT OF CARS SHOVING BACK.
28/04/16 23:26,"BARRINGTON, ILLINOIS",MAIN ST,Wisconsin Central Ltd. (also Railway),INTOXICATED DRIVER WENT PAST THE ACTIVATED WARNING DEVICES AT THE MAIN STREET CROSSING. DRIVER THENGOT OUT OF THE VEHICLE BEFORE THE TRAIN IMPACTED IT. NO INJURIES WERE REPORTED. DRIVER WAS CITED BY LOCAL AUTHORITIES.
